név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Kustor Tamás Zsolt;10.D;rendszergazda;f;vörös;3500;földrajz;0;3,67;0;Zalaegerszeg;2006.10.09;3:11:47;8771 Hahót, Zrínyi M. u. 183. ;1980.10.21;1957.02.01;patkány;macska
Lapat Luca;10.D;pénzügy;l;szőke;4500;matematika;0;2,78;0;Zalaegerszeg;2006.07.09;16:29:25;8900 Zalaegerszeg, Bethlem G.u. 10.;1974.12.25;1966.04.12;kutya;macska
Magyar Dávid;10.D;számvitel-gazdálkodás;f;kopasz;10000;földrajz;0;3,14;0;Zalaegerszeg;2005.11.13;20:19:14;8999 Zalalövő, Margaréta u. 33.;1973.09.05;1968.07.28;ló;patkány
Mihók Réka;10.D;pénzügy;l;vörös;7500;rajz;1;1;0;Zalaegerszeg;2005.09.08;2:13:07;8900 Zalaegerszeg, Gébárti út 126.;1970.10.23;1956.04.04;kutya;hal
Molnár Ádám József;10.D;rendszergazda;f;barna;6500;történelem;0;4,27;2;Zalaegerszeg;2006.08.24;4:48:13;8942 Csatár, Dózsa u. 2.;1982.04.09;1988.04.06;kígyó;hal
Nagy Réka;10.D;rendszergazda;l;vörös;7000;rajz;1;1;1;Zalaegerszeg;2006.01.02;0:36:25;8900 Zalaegerszeg, Hét vezér út 10.;1967.05.16;1986.05.15;kacsa;ló
Pallanki Zsolt;10.D;rendszergazda;f;barna;3000;angol;0;3,9;1;Zalaegerszeg;2005.12.27;8:31:48;8983 Nagylengyel, Arany J.u.48.;1973.05.22;1981.03.03;;
Pintér Ádám;10.D;számvitel-gazdálkodás;f;vörös;10000;német;0;3,13;0;Zalaegerszeg;2005.10.03;10:36:34;8936 Zalaszentmihály, Deák u. 26.;1968.07.01;1982.11.08;macska;
Porkoláb Csaba Gergő;10.D;szoftverfejlesztő;f;fekete;6000;fizika;1;1;0;Zalaegerszeg;2006.05.04;11:22:54;8900 Zalaegerszeg, Átalszegett u. 23/C.;1985.10.26;1974.04.22;ló;kutya
Rudas Marcell;10.D;szoftverfejlesztő;f;fekete;8500;ének;0;2,26;3;Zalaegerszeg;2005.11.10;17:58:06;8900 Zalaegerszeg, Rómer Flóris utca 3.;1961.02.16;1969.01.12;tyúk;tyúk
Simon Anna;10.D;rendszergazda;l;szőke;9000;magyar;0;3,18;1;Körmend;2006.08.16;5:36:07;8981 Gellénháza, Kossuth u. 29.;1978.03.17;1980.07.10;macska;ló
Simon Liliána;10.D;számvitel-gazdálkodás;l;kék;3000;angol;0;2,62;3;Zalaegerszeg;2006.06.25;17:17:30;8918 Csonkahegyhát, Kossuth u. 23.;1978.05.26;1957.09.24;;
Simon Norbert;10.D;számvitel-gazdálkodás;f;szőke;7000;rajz;0;4,99;1;Budapest;2006.09.20;7:45:34;8900 Zalaegerszeg, Landorhegyi u. 22. A;1979.02.18;1973.05.17;patkány;
Szabó Dániel;10.D;szoftverfejlesztő;f;fekete;8500;informatika;1;1;0;Zalaegerszeg;2006.04.03;5:21:05;8900 Zalaegerszeg, Pacsirta utca 13.;1974.10.12;1979.11.30;;
Szegleti Gergő Krisztián;10.D;számvitel-gazdálkodás;f;barna;3500;ének;1;1;3;Zalaegerszeg;2006.06.16;0:20:40;8900 Zalaegerszeg, Építők útja 11 3/9;1962.05.18;1953.12.08;tyúk;teknős
Toplak Szabolcs;10.D;számvitel-gazdálkodás;f;szőke;6500;matematika;2;1;1;Körmend;2007.08.25;0:03:27;9934 Hegyhátszentjakab, Kossuth Lajos utca 32.;1970.08.04;1972.01.16;kutya;ló
Tormássy Norbert;10.D;pénzügy;f;fekete;7500;rajz;0;4,87;1;Zalaegerszeg;2005.11.19;7:04:22;8956 Páka, Ifjúság u. 18/B;1978.12.16;1987.06.28;kutya;
Vizi Benjámin;10.D;rendszergazda;f;lila;8500;ének;0;3,41;0;Zalaegerszeg;2007.01.14;17:07:03;8900 Zalaegerszeg, Szövetkezeti u. 16.;1971.02.12;1971.01.23;macska;macska
Ágoston Nóra;11.A;számvitel-gazdálkodás;l;szőke;4000;angol;0;3,14;0;Körmend;2004.10.30;2:58:37;8900 Zalaegerszeg, Mártírok útja 17.;1985.02.07;1985.12.16;;
Bagó Médea;11.A;szoftverfejlesztő;l;lila;10000;földrajz;0;2,47;2;Zalaegerszeg;2004.12.04;15:11:53;8782 Zalacsány, Csány L.u. 27. ;1980.04.14;1983.04.08;patkány;kutya
Bajsz Tamás Patrik;11.A;rendszergazda;f;fekete;5000;matematika;3;1;0;Zalaegerszeg;2005.03.20;20:23:32;8900 Zalaegerszeg, Gönczi F. utca 2.;1976.01.09;1985.01.22;teknős;macska
Bakó Tamás;11.A;rendszergazda;f;szőke;4000;angol;0;2,7;1;Zalaegerszeg;2006.06.19;1:51:16;8795 Zalaszentgrót, Csáfordi út 32.;1961.09.13;1952.06.10;kutya;
Boronyák Bence;11.A;rendszergazda;f;vörös;4000;angol;0;3,22;1;Zalaegerszeg;2006.06.28;3:39:42;8900 Zalaegerszeg, Landorhegyi út 25.;1987.01.16;1973.03.06;;
Büki Boglárka;11.A;számvitel-gazdálkodás;l;barna;10000;német;0;3,74;2;Zalaegerszeg;2005.12.07;8:37:58;8900 Zalaegerszeg, Alsóerdei u. 5/B. 3/13.;1984.11.03;1976.10.27;kígyó;hal
Csabai Abigél;11.A;szoftverfejlesztő;l;vörös;6000;történelem;0;5;1;Zalaegerszeg;2004.09.26;9:40:14;8992 Bagod, Faluház u. 7.;1963.04.10;1971.06.10;tyúk;
Domján Noémi;11.A;számvitel-gazdálkodás;l;szőke;5000;német;1;1;2;Zalaegerszeg;2004.11.20;14:54:19;8900 Zalaegerszeg, Petőfi köz 2. B lph. 2. em. 7. a;1977.01.29;1971.04.02;patkány;teknős
Farkas Eszter;11.A;szoftverfejlesztő;l;barna;4000;magyar;1;1;1;Zalaegerszeg;2006.03.06;20:13:35;8900 Zalaegerszeg, Bartók Béla utca 33.;1970.07.27;1977.11.21;vadászgörény;kacsa
Fitos Judit;11.A;számvitel-gazdálkodás;l;fekete;4500;földrajz;0;4,4;2;Zalaegerszeg;2005.09.04;16:09:31;8900 Zalaegerszeg, Landorhegyi u. 32. 10/60. ;1969.11.22;1953.12.02;macska;
Fodróczy Ágnes;11.A;számvitel-gazdálkodás;l;szőke;6500;földrajz;1;1;1;Zalaegerszeg;2006.08.25;12:18:33;9821 Győrvár, Új Élet u. 15.;1962.11.19;1954.12.29;macska;kígyó
Fülöp Laura;11.A;számvitel-gazdálkodás;l;kopasz;5500;német;1;1;1;Zalaegerszeg;2005.04.25;9:18:17;8935 Misefa, Akácfa utca 9.;1971.01.05;1980.10.15;teknős;macska
Gaál Nikolett;11.A;számvitel-gazdálkodás;l;barna;5500;informatika;0;3,14;0;Zalaegerszeg;2004.12.26;14:18:23;8900 Zalaegerszeg, Hegyalja út 58. fsz. 1.;1969.07.27;1961.01.26;macska;vadászgörény
Geráth Dániel;11.A;számvitel-gazdálkodás;f;lila;9500;rajz;4;1;2;Zalaegerszeg;2006.02.24;20:52:37;8896 Pusztaszentlászló, Kossuth u. 56.;1972.08.21;1953.09.22;patkány;hörcsög
Halász Franciska;11.A;rendszergazda;l;szőke;9000;magyar;0;2,66;2;Zalaegerszeg;2006.01.07;5:14:08;8946 Tófej, Bartók Béla utca 20.;1965.08.11;1972.02.14;;
Herbai Ádám;11.A;pénzügy;f;vörös;9500;magyar;1;1;0;Zalaegerszeg;2006.08.21;7:20:24;8900 Zalaegerszeg, Göcseji u. 45. 5/50.;1987.12.05;1988.02.13;macska;
Holics Aliz;11.A;szoftverfejlesztő;l;fekete;6500;magyar;0;4,95;1;Körmend;2004.11.05;2:50:17;8900 Zalaegerszeg, Egry J.u. 8/B.;1975.09.25;1985.05.25;;
Juhász Veronika;11.A;pénzügy;l;barna;5000;német;0;2,33;4;Kézdivásárhely;2005.05.06;2:13:15;8913 Egervár, Dénesfai u. 1.;1980.05.24;1961.01.19;;
Kovács Barbara;11.A;szoftverfejlesztő;l;szőke;3000;ének;0;2,69;0;Zalaegerszeg;2005.10.04;4:29:15;8900 Zalaegerszeg, Eötvös József utca 12. A lph.3. em. 5.;1978.12.18;1985.02.01;;
Körmendi Szilárd;11.A;szoftverfejlesztő;f;fekete;5500;földrajz;0;4,11;1;Zalaegerszeg;2005.09.01;4:01:18;8900 Zalaegerszeg, Gasparich u. 14/B.;1974.06.23;1979.12.13;hal;
Kránicz Mirjam Anna;11.A;szoftverfejlesztő;l;kék;3000;fizika;0;4,9;1;Zalaegerszeg;2005.05.25;20:43:42;8915 Nemesrádó, Ady u. 76.;1984.01.21;1982.08.08;ló;teknős
Krisbaum Kornélia ;11.A;szoftverfejlesztő;l;kopasz;9000;magyar;0;3,33;1;Zalaegerszeg;2006.08.13;9:34:24;8895 Pusztamagyaród, Fő út 48.;1967.09.05;1953.07.13;macska;vadászgörény
Márton Renáta;11.A;számvitel-gazdálkodás;l;barna;5500;földrajz;0;3,77;2;Budapest;2005.08.19;13:35:23;8913 Lakhegy, Petőfi Sándor utca 57.;1977.09.25;1954.01.03;tyúk;teknős
Németh Fanni;11.A;számvitel-gazdálkodás;l;barna;3500;ének;0;3,5;0;Zalaegerszeg;2006.01.23;19:34:42;8900 Zalaegerszeg, Madách I.u. 22. 1/12.;1988.12.26;1977.07.02;kígyó;kutya
Németh Gergely;11.A;szoftverfejlesztő;f;szőke;9500;biológia;0;3,4;1;Zalaegerszeg;2006.07.19;5:46:07;8960 Lenti, Szombathelyi út 78.;1985.02.17;1969.03.29;hal;kutya
Németh Kinga;11.A;rendszergazda;l;vörös;8500;angol;0;3,99;1;Zalaegerszeg;2006.03.23;4:38:56;8797 Batyk, Dózsa u. 20.;1980.04.03;1985.05.12;ló;kígyó
Pethő Patrik;11.A;rendszergazda;f;szőke;9500;biológia;0;3,12;4;Zalaegerszeg;2005.06.18;19:37:53;8900 Zalaegerszeg, Berzsenyi D.utca 5.;1977.05.28;1966.06.03;patkány;hal
Simon Kevin Krisztián;11.A;szoftverfejlesztő;f;fekete;5000;német;0;2;2;Zalaegerszeg;2005.04.22;18:38:58;8945 Bak, József A. u. 6.;1984.08.30;1974.12.01;macska;kígyó
Steiner Alexandra;11.A;rendszergazda;l;barna;6000;rajz;4;1;3;Zalaegerszeg;2006.06.27;7:51:33;8900 Zalaegerszeg, Landorhegyi utca 28.;1980.11.06;1965.03.05;vadászgörény;vadászgörény
Szabó Anett;11.A;rendszergazda;l;szőke;4500;angol;0;3,85;1;Zalaegerszeg;2005.02.13;8:52:18;8897 Söjtör, Deák f. utca 106/b;1984.02.23;1981.09.26;kacsa;ló
Szipőcs Alexandra;11.A;rendszergazda;l;lila;4000;informatika;1;1;1;Zalaegerszeg;2004.09.07;3:50:38;8900 Zalaegerszeg, Madách utca 8.;1987.06.22;1962.01.10;;
Tóth Alíz;11.A;rendszergazda;l;kopasz;4000;fizika;1;1;0;Zalaegerszeg;2004.12.15;17:31:42;8900 Zalaegerszeg, Kosztolányi D. tér 2/c;1981.12.09;1981.07.29;hal;kígyó
Ágh Viktória;11.B;pénzügy;l;szőke;6000;angol;0;3,75;1;Zalaegerszeg;2004.12.13;7:21:44;8900 Zalaegerszeg, Hegyalja u. 19. 2/6. ;1967.04.01;1978.04.04;teknős;vadászgörény
Albrecht Blanka;11.B;rendszergazda;l;fekete;4500;biológia;1;1;2;Keszthely;2005.11.25;15:35:15;8900 Zalaegerszeg, Rózsás u. 67.;1986.07.01;1959.03.19;tyúk;kígyó
Bajzek Alexandra Inez;11.B;rendszergazda;l;barna;6000;ének;1;1;0;Zalaegerszeg;2006.04.14;21:37:42;8900 Zalaegerszeg, Bóbita út 13.;1988.04.13;1982.02.01;hal;ló
Bakányi Barnabás;11.B;számvitel-gazdálkodás;f;kék;8000;angol;3;1;1;Zalaegerszeg;2005.08.02;14:00:46;8900 Zalaegerszeg, Mártírok útja 31.3/6.;1973.07.09;1983.10.01;kutya;vadászgörény
Baksa Dániel;11.B;rendszergazda;f;vörös;5500;magyar;2;1;3;Zalaegerszeg;2005.07.17;15:09:50;8900 Zalaegerszeg, Disz tér 5.  2/4;1970.06.27;1976.09.14;teknős;macska
Bali Szilárd;11.B;pénzügy;f;szőke;8000;biológia;2;1;3;Keszthely;2006.03.25;14:36:16;8380 Hévíz, Semmelweis u. 5.;1984.06.16;1954.01.18;hal;ló
Bonczók-Sáfrán Benjamin;11.B;számvitel-gazdálkodás;f;vörös;7000;ének;0;3,29;4;Zalaegerszeg;2005.04.04;3:45:54;8774 Gelse, Dózsa Gy. u. 41.;1986.11.26;1984.06.04;ló;kutya
Cséber Dominika;11.B;pénzügy;l;barna;9000;rajz;0;4,12;0;Zalaegerszeg;2006.04.12;10:34:59;8900 Zalaegerszeg, Zala u. 2/A.fsz.2.;1979.05.15;1971.02.27;kígyó;patkány
Dömők Ákos;11.B;rendszergazda;f;barna;3000;angol;0;3,92;1;Zalaegerszeg;2005.06.26;14:37:01;8900 Zalaegerszeg, Biró M. u. 7. 3/7.;1981.07.20;1966.08.05;;
Flander Richárd;11.B;pénzügy;f;kék;7000;német;0;2,33;1;Zalaegerszeg;2006.05.08;18:51:58;8900 Zalaegerszeg, Móra Ferenc u. 2.;1965.02.27;1982.03.07;kacsa;macska
Garamvölgyi Márk;11.B;pénzügy;f;szőke;8500;fizika;0;3,98;1;Zalaegerszeg;2006.03.10;14:48:13;8900 Zalaegerszeg,Landorhegyi u. 28. 10/63.;1972.10.30;1987.06.21;;
Hajba Áron;11.B;szoftverfejlesztő;f;barna;5500;angol;3;1;1;Zalaegerszeg;2006.08.27;4:42:20;8900 Zalaegerszeg, Széperdő u. hrsz.20358;1982.06.15;1983.06.02;kacsa;
Halász Olivér;11.B;számvitel-gazdálkodás;f;fekete;9000;rajz;1;1;2;Tapolca;2005.01.30;16:31:45;8900 Zalaegerszeg, Gévahegyi u. hrsz 21709/5.;1971.01.31;1963.08.24;hal;
Horváth Dávid Alex;11.B;pénzügy;f;vörös;10000;történelem;0;2,42;3;Zalaegerszeg;2006.03.21;23:29:38;8917 Milejszeg, Petőfi utca 68.;1962.11.19;1961.09.27;vadászgörény;
Horváth Dóra;11.B;szoftverfejlesztő;l;vörös;7500;földrajz;0;2,52;2;Zalaegerszeg;2005.01.04;13:22:52;8947 Zalatárnok, Kossuth u. 14.;1969.02.15;1976.06.14;kígyó;macska
Juhász Anett;11.B;pénzügy;l;barna;8000;informatika;3;1;2;Zalaegerszeg;2004.11.30;1:04:09;8900 Zalaegerszeg, Bartók Béla út 22.;1981.01.22;1973.11.23;kígyó;kacsa
Kámán Benedek;11.B;számvitel-gazdálkodás;f;lila;10000;angol;1;1;1;Zalaegerszeg;2005.02.12;16:44:34;8900 Zalaegerszeg, Madách Imre utca 22. 4. em. 27. a;1969.02.04;1980.03.25;patkány;macska
Kocsis Dávid;11.B;pénzügy;f;szőke;3000;német;0;3,32;1;Zalaegerszeg;2005.08.27;10:49:53;8900 Zalaegerszeg, Kisbükk dűlő 7.;1971.06.23;1979.09.16;kacsa;
Konrád Balázs;11.B;számvitel-gazdálkodás;f;barna;5500;ének;2;1;1;Zalaegerszeg;2004.09.19;6:51:04;8934 Bezeréd, Virág utca 9.;1970.05.04;1968.03.06;patkány;
Kovács Petra;11.B;rendszergazda;l;lila;3000;német;0;2,12;2;Budapest;2006.04.30;17:46:00;8900 Zalaegerszeg, Gönczi Ferenc utca 2.;1975.03.16;1983.05.02;hal;hörcsög
Kovács Roland;11.B;számvitel-gazdálkodás;f;fekete;7000;ének;0;2,08;0;Zalaegerszeg;2005.12.10;4:24:16;8911 Kiskutas, Fő u. 1/F.;1984.12.22;1957.10.01;kacsa;teknős
Le Thanh Tung ;11.B;pénzügy;f;barna;8500;magyar;0;3,3;2;Zalaegerszeg;2004.11.05;3:56:23;8790 Zalaszentgrót, Bajcsy-Zs. U. 1.;1963.03.21;1982.05.06;kígyó;hal
Lengyel Lilla Anna ;11.B;szoftverfejlesztő;l;kék;3500;rajz;0;2,93;2;Nagyatád;2006.04.30;0:30:24;8900 Zalaegerszeg, Vizslaparki utca 44/C.;1989.09.27;1959.08.26;ló;ló
Lőrinc Rebeka Lídia;11.B;számvitel-gazdálkodás;l;szőke;3500;történelem;0;3,32;0;Zalaegerszeg;2004.09.25;19:15:13;8995 Salomvár, Dózsa György u. 27.;1973.03.22;1974.10.22;macska;tyúk
Magyar Martina;11.B;számvitel-gazdálkodás;l;vörös;8000;informatika;3;1;2;Zalaegerszeg;2006.03.20;19:57:36;8897 Söjtör, Kossuth u. 36.;1965.05.06;1984.11.29;;
Miklós Tímea;11.B;pénzügy;l;kopasz;8500;matematika;2;1;1;Budapest;2005.02.27;8:35:17;8897 Söjtör, Kossuth u. 22.;1978.02.05;1972.10.19;teknős;vadászgörény
Molnár Martin;11.B;számvitel-gazdálkodás;f;szőke;7500;angol;0;2,96;2;Zalaegerszeg;2005.05.17;0:25:44;8912 Kispáli, Kossuth u. 10-.;1962.03.27;1956.10.04;;
Nagy Veronika;11.B;pénzügy;l;fekete;4500;földrajz;0;3,28;1;Zalaegerszeg;2005.04.14;13:59:52;8900 Zalaegerszeg, Vizslaparki utca 23.;1972.01.20;1961.11.17;kígyó;teknős
Oláh Áron;11.B;pénzügy;f;lila;5500;ének;0;4,87;3;Keszthely;2006.02.09;1:54:49;8900 Zalaegerszeg, Holub u. 12.;1965.05.11;1960.02.01;macska;macska
Orbán Ivett;11.B;pénzügy;l;fekete;6000;informatika;0;2,25;4;Zalaegerszeg;2004.11.26;14:02:21;8992 Bagod, Deák u. 7.;1974.05.18;1971.05.06;kígyó;
Orbán Szilárd;11.B;szoftverfejlesztő;f;szőke;9500;informatika;0;3,45;0;Nagykanizsa;2006.03.04;18:36:54;8900 Zalaegerszeg, Cinke u. 6. II/17.;1988.10.17;1984.10.17;tyúk;ló
Ravasz Tamás;11.B;szoftverfejlesztő;f;kopasz;10000;biológia;3;1;1;Zalaegerszeg;2004.11.16;17:14:04;8992 Boncodfölde, Dózsa u. 23/A.;1960.04.24;1984.01.08;kígyó;patkány
Rózsás Nóra;11.B;szoftverfejlesztő;l;szőke;4500;rajz;0;2,75;3;Keszthely;2005.10.04;11:23:19;8900 Zalaegerszeg, Nemzetőr u. 32/C. ;1970.04.19;1985.12.03;hörcsög;kutya
Szabó Alexandra;11.B;pénzügy;l;lila;8000;magyar;0;3,26;2;Zalaegerszeg;2004.09.29;1:42:46;8900 Zalaegerszeg, Pintér M.u. 6.;1965.01.16;1960.12.20;teknős;vadászgörény
Szép Zoltán;11.B;szoftverfejlesztő;f;barna;3500;matematika;0;4,83;2;Zalaegerszeg;2005.07.16;1:43:37;8900 Zalaegerszeg, Budai Völgyi út 24. Pl 2.;1976.06.17;1967.07.26;kígyó;teknős
Tóth Nikolett;11.B;számvitel-gazdálkodás;l;fekete;9000;történelem;0;2,95;0;Zalaegerszeg;2006.06.07;13:58:04;8900 Zalaegerszeg, Berzsenyi u. 11. 8/49.;1985.07.26;1982.08.29;;
Vörös Ákos;11.B;számvitel-gazdálkodás;f;kék;4500;biológia;0;2,85;1;Zalaegerszeg;2005.08.12;13:51:26;8900 Zalaegerszeg, Honvéd utca 19.;1971.09.24;1960.08.28;ló;kacsa
Zóka Dániel;11.B;szoftverfejlesztő;f;vörös;3500;magyar;0;4;3;Zalaegerszeg;2006.05.23;5:25:20;8900 Zalaegerszeg, Köztársaság utca  85.;1990.03.13;1953.08.16;patkány;
Bencze Botond;11.C;pénzügy;f;szőke;9500;történelem;0;3,3;1;Zalaegerszeg;2006.07.29;6:15:03;8900 Zalaegerszeg, Átalszegett utca 171. II./20;1972.06.02;1978.02.23;patkány;teknős
Bódis Norbert;11.C;rendszergazda;f;kopasz;9500;német;0;2,9;0;Zalaegerszeg;2004.11.07;21:36:54;8900 Zalaegerszeg, Alsójánkahegyi u. 22.;1977.09.07;1956.10.13;ló;hal
Czömpöl Bianka;11.C;számvitel-gazdálkodás;l;barna;9000;ének;0;2,79;0;Zalaegerszeg;2004.09.23;2:26:10;9825 Oszkó, Rákóczi Ferenc utca 137/a;1972.06.27;1968.11.28;;
Csákits Zsuzsanna;11.C;számvitel-gazdálkodás;l;fekete;9500;biológia;2;1;3;Zalaegerszeg;2005.11.22;18:58:42;8931 Kemendollár, Dózsa Gy.utca 33.;1979.06.18;1977.03.04;hal;kacsa
Fehér Barbara;11.C;szoftverfejlesztő;l;szőke;8000;matematika;0;3,13;1;Zalaegerszeg;2005.10.18;1:19:43;8900 Zalaegerszeg, Sas utca 8/4;1969.10.01;1953.01.20;kacsa;tyúk
Gaál Barbara;11.C;szoftverfejlesztő;l;barna;10000;földrajz;0;3,9;1;Pásztó;2004.10.10;17:02:07;8900 Zalaegerszeg, Csácsi út 115. ;1969.09.17;1984.06.02;teknős;hörcsög
Gyenge Barbara Valéria;11.C;szoftverfejlesztő;l;szőke;9500;matematika;1;1;1;Zalaegerszeg;2006.04.05;17:08:44;8900 Zalaegerszeg, Bíró Márton utca 8.;1987.10.03;1960.10.02;tyúk;vadászgörény
Hantos Barnabás;11.C;rendszergazda;f;vörös;3500;fizika;0;2,9;0;Zalaegerszeg;2006.06.18;17:43:16;8900 Zalaegerszeg, Köztársaság u. 87. 10/62.;1975.12.15;1954.01.01;ló;kacsa
Joó Fanni;11.C;rendszergazda;l;szőke;6000;történelem;0;2,99;3;Zalaegerszeg;2005.03.28;21:38:45;8900 Zalaegerszeg, Göcseji út 45. 5/51.;1971.05.14;1977.07.05;;
Kálmán Kitti;11.C;szoftverfejlesztő;l;szőke;4000;ének;0;4,68;2;Zalaegerszeg;2006.01.15;9:13:52;8900 Zalaegerszeg, Gönczi F. u. 15.;1989.11.29;1971.11.15;kígyó;tyúk
Kelemen Marcell;11.C;pénzügy;f;szőke;5000;magyar;0;3,59;2;Zalaegerszeg;2004.11.22;9:39:23;8900 Zalaegerszeg, Bazitai u. 71.;1987.06.19;1969.02.05;macska;kacsa
Kocsi Bálint;11.C;szoftverfejlesztő;f;szőke;8500;magyar;0;4,06;1;Zalaegerszeg;2006.03.20;1:31:38;8991 Hottó, Kossuth L.u. 5/A. ;1978.02.16;1957.12.27;kígyó;
Kocsis Viktor;11.C;számvitel-gazdálkodás;f;szőke;5000;német;1;1;0;Zalaegerszeg;2004.10.04;2:25:19;8900 Zalaegerszeg, Köztársaság út 81.;1984.09.28;1969.10.11;hal;kutya
Lucz Vanessza Benita;11.C;rendszergazda;l;vörös;9000;angol;0;2,04;1;Zalaegerszeg;2004.11.06;6:09:58;8900 Zalaegerszeg, Kert utca 1.;1977.10.26;1965.06.17;hörcsög;vadászgörény
Martinov Zoltán;11.C;szoftverfejlesztő;f;fekete;9000;ének;0;2,33;1;Zalaegerszeg;2006.02.17;16:35:24;8913 Egervár, Temető utca 6;1968.03.31;1954.09.22;patkány;kacsa
Mészáros Milán;11.C;rendszergazda;f;kék;10000;ének;0;3,95;0;Zalaegerszeg;2005.05.30;22:25:35;8900 Zalaegerszeg, Berzsenyi u. 20. 1/12.;1984.03.22;1969.12.18;ló;teknős
Molnár Dávid;11.C;rendszergazda;f;kopasz;4000;történelem;2;1;3;Zalaegerszeg;2006.06.02;10:21:01;8935 Misefa, Ország u. 29.;1964.01.19;1955.09.26;ló;kacsa
Németh Kitti;11.C;pénzügy;l;vörös;6000;fizika;0;3,51;1;Zalaegerszeg;2005.06.07;0:34:38;8900 Zalaegerszeg, Göcseji-Pataki F.u. 24.;1971.03.11;1951.10.23;hörcsög;hal
Novák Anna;11.C;számvitel-gazdálkodás;l;kopasz;5000;német;0;4,17;2;Zalaegerszeg;2006.04.16;16:16:16;8360 Keszthely, Bercsényi Miklós utca 54.;1972.10.14;1987.07.28;kutya;
Nyakas Ádám;11.C;számvitel-gazdálkodás;f;kopasz;5500;biológia;0;2,56;2;Zalaegerszeg;2005.03.10;16:18:32;8932 Pókaszepetk, Kossuth u. 13.;1974.01.01;1954.11.25;tyúk;vadászgörény
Olasz Bence Dominik;11.C;rendszergazda;f;fekete;3500;történelem;2;1;1;Zalaegerszeg;2006.01.19;20:09:32;8981 Gellénháza, Olajmunkás u. 18.;1985.05.27;1953.10.08;ló;kacsa
Salamon Fruzsina;11.C;számvitel-gazdálkodás;l;vörös;7000;történelem;0;4,57;1;Zalaegerszeg;2005.05.10;16:50:57;8771 Hahót, Fakospuszta 57.;1965.12.23;1971.10.28;macska;hal
Somogyi Alexandra;11.C;pénzügy;l;barna;7500;német;0;2,61;0;Zalaegerszeg;2006.07.26;18:47:24;8942 Csatár, Rákóczi F.u. 9.;1989.09.06;1978.02.08;;
Szabó Henrietta;11.C;rendszergazda;l;vörös;6500;rajz;0;2,88;0;Zalaegerszeg;2005.05.09;1:06:25;8991 Böde, Petőfi S. út 12.;1967.03.04;1960.08.31;kacsa;
Szalai Bence;11.C;pénzügy;f;fekete;9500;földrajz;0;4,35;1;Zalaegerszeg;2006.04.25;20:34:56;8900 Zalaegerszeg, Landorhegyi út 30.;1975.12.17;1986.02.08;vadászgörény;teknős
Szegleti Barnabás;11.C;szoftverfejlesztő;f;barna;9500;angol;0;3,66;1;Keszthely;2005.03.09;1:51:45;8992 Boncodfölde, Dózsa Gy.u.9.;1960.08.15;1962.01.28;macska;macska
Székely Krisztián;11.C;számvitel-gazdálkodás;f;barna;9500;rajz;1;1;0;Zalaegerszeg;2005.07.10;16:47:55;8900 Zalaegerszeg, Hegyi u. 7/A.;1977.02.22;1965.12.30;teknős;
Tóth Eszter;11.C;szoftverfejlesztő;l;barna;3500;magyar;2;1;3;Zalaegerszeg;2004.09.12;4:50:11;8897 Söjtör, Deák F.u. 4/A. ;1967.09.22;1979.12.22;kacsa;kígyó
Tóth Joakim;11.C;pénzügy;f;vörös;5500;biológia;0;3,73;1;Zalaegerszeg;2004.09.21;20:03:33;8761 Pacsa, Szent István tér 24/B.;1976.09.22;1968.10.08;teknős;
Tóth Máté;11.C;számvitel-gazdálkodás;f;szőke;9500;német;1;1;1;Zalaegerszeg;2005.10.06;8:58:36;8900 Zalaegerszeg, Berzsenyi u. 26.;1975.07.01;1965.03.20;kígyó;teknős
Zobb Eszter;11.C;szoftverfejlesztő;l;szőke;3000;angol;2;1;0;Zalaegerszeg;2005.05.05;22:29:20;8900 Zalaegerszeg, Göcseji Pataki F.u. 22.;1965.03.17;1967.04.01;tyúk;vadászgörény
Bácsi Barnabás;11.D;pénzügy;f;fekete;3500;matematika;0;3,47;0;Zalaegerszeg;2005.01.29;19:03:25;9934 Felsőjánosfa, Petőfi u.9.;1966.10.30;1959.05.02;;
Bankó Zsófia;11.D;számvitel-gazdálkodás;l;vörös;3500;történelem;2;1;0;Zalaegerszeg;2005.06.02;10:21:14;8868 Letenye, Szív utca 26/A.;1972.03.30;1962.05.11;macska;ló
Boa Diána;11.D;rendszergazda;l;barna;7000;angol;0;3,68;1;Zalaegerszeg;2006.04.04;12:16:41;8394 Alsópáhok, Kossuth L. utca 25.;1989.06.09;1981.07.22;;
Borbély Márk Barnabás;11.D;szoftverfejlesztő;f;kopasz;10000;matematika;1;1;3;Zalaegerszeg;2005.12.14;8:30:19;8943 Bocfölde,  Kiskuti u. 12.;1965.03.24;1956.04.17;macska;vadászgörény
Bozzai Viktória;11.D;pénzügy;l;barna;8000;magyar;1;1;2;Zalaegerszeg;2005.03.06;18:19:08;8925 Bucsuszentlászló, Petőfi S. utca 23.;1969.10.20;1959.09.03;kacsa;
